job_id,submit_time,runtime_min,norm_cpu_seconds,cores_used
226801619,2026-03-01 10:32:59,16.341,23979.787,1
226803179,2026-03-01 10:46:05,3.34,4411.806,1
226801813,2026-03-01 10:34:30,14.014,18848.73,1
226802903,2026-03-01 10:42:20,4.676,7575.627,1
226801944,2026-03-01 10:35:27,13.014,20742.932,1
226802082,2026-03-01 10:36:30,12.175,20255.214,1
226803620,2026-03-01 10:49:26,1.019,1926.04,1
226801819,2026-03-01 10:34:33,13.182,21226.888,1
226801931,2026-03-01 10:35:22,13.013,21438.969,1
226803539,2026-03-01 10:48:48,1.34,1435.66,1
226803499,2026-03-01 10:48:27,1.678,1415.32,1
226803479,2026-03-01 10:48:17,1.674,1405.8,1
226801725,2026-03-01 10:33:51,14.838,20690.356,1
226802004,2026-03-01 10:35:54,12.674,21033.369,1
226801770,2026-03-01 10:34:12,15.509,22773.036,1
226802364,2026-03-01 10:38:30,9.682,15215.7,1
226801886,2026-03-01 10:35:03,13.515,21266.283,1
226803309,2026-03-01 10:47:00,2.672,3774.51,1
226801376,2026-03-01 10:31:12,20.173,19019.166,1
226801999,2026-03-01 10:35:53,12.673,21805.173,1
226803156,2026-03-01 10:45:55,2.672,3937.449,1
226802034,2026-03-01 10:36:08,12.354,26139.012,1
226801427,2026-03-01 10:31:35,19.842,18741.251,1
226801898,2026-03-01 10:35:08,12.516,19385.73,1
226803079,2026-03-01 10:45:18,5.018,7239.827,1
226792833,2026-03-01 08:49:46,130.356,205312.791,1
226803324,2026-03-01 10:47:07,1.022,1794.426,1
226802968,2026-03-01 10:43:27,5.181,8000.216,1
226801757,2026-03-01 10:34:05,15.672,21296.106,1
226803275,2026-03-01 10:46:46,3.338,4233.537,1
226803279,2026-03-01 10:46:48,3.34,4419.6,1
226803541,2026-03-01 10:48:48,1.176,1514.16,1
226803507,2026-03-01 10:48:32,1.672,2051.973,1
226802074,2026-03-01 10:36:27,12.012,20011.492,1
226803236,2026-03-01 10:46:29,3.339,3842.587,1
226802078,2026-03-01 10:36:27,11.842,15139.655,1
226801990,2026-03-01 10:35:48,11.511,16637.0,1
226803481,2026-03-01 10:48:19,1.179,1612.26,1
226803199,2026-03-01 10:46:14,3.507,5214.519,1
226803565,2026-03-01 10:49:00,1.009,1349.25,1
226803288,2026-03-01 10:46:52,3.339,5358.24,1
226801964,2026-03-01 10:35:34,13.014,20982.098,1
226801901,2026-03-01 10:35:09,13.694,21078.621,1
226803484,2026-03-01 10:48:20,1.672,1839.586,1
226801796,2026-03-01 10:34:22,15.005,22563.84,1
226803339,2026-03-01 10:47:12,3.189,4629.598,1
226803567,2026-03-01 10:49:01,1.018,1861.242,1
226803297,2026-03-01 10:46:56,3.012,5239.377,1
226803308,2026-03-01 10:47:00,3.678,5821.432,1
226803584,2026-03-01 10:49:10,1.007,1416.69,1
226803239,2026-03-01 10:46:30,2.839,5084.756,1
226802120,2026-03-01 10:36:47,11.508,14586.66,1
226801778,2026-03-01 10:34:15,13.51,20561.854,1
226801940,2026-03-01 10:35:25,12.859,21286.593,1
226801718,2026-03-01 10:33:48,16.516,22239.304,1
226803544,2026-03-01 10:48:50,1.181,1605.914,1
226803365,2026-03-01 10:47:24,1.34,1228.368,1
226801402,2026-03-01 10:31:24,19.507,18354.762,1
226801346,2026-03-01 10:31:00,19.677,18772.442,1
226801872,2026-03-01 10:34:56,13.508,18053.902,1
226801802,2026-03-01 10:34:26,13.841,13922.136,1
226803086,2026-03-01 10:45:22,4.511,5613.718,1
226803271,2026-03-01 10:46:45,3.18,4640.646,1
226803561,2026-03-01 10:48:59,1.019,1890.73,1
226801930,2026-03-01 10:35:21,12.852,21875.14,1
226803519,2026-03-01 10:48:37,1.008,1406.261,1
